subject_code,official_name,what_it_is,ancestor_path,vol,prev_disposition,prev_family,proposed_disposition,proposed_family,instrument_sector,mechanism,note,changed
11626,Registro de Candidatura - Substituição de Candidato - Por Ineligibilidade,"Art. 13. É facultado ao partido ou coligação substituir candidato que for considerado inelegível, renunciar ou falecer após o termo final do prazo do registro o",DIREITO ELEITORAL > Eleições > Candidatos > Registro de Candidatura > Registro de Candidatura - Substituição de Candidato > Registro de Candidatura - Substituição de Candidato - Por Ineligibilidade,10,KEEP,registro_contestado,DROP,,,,substituicao variant: procedural,Y
10609,Quebra do Sigilo Telefônico,"<p> A intercepta&ccedil;&atilde;o de comunica&ccedil;&otilde;es telef&ocirc;nicas, de qualquer natureza, para prova em investiga&ccedil;&atilde;o criminal e em ",DIREITO PROCESSUAL PENAL > Investigação Penal > Quebra do Sigilo Telefônico,10,REVIEW,other,DROP,,,,off-topic branch (direito processual penal),Y
12054,Impugnação - Sistema Eletrônico de Votação,,DIREITO ELEITORAL > Eleições > Impugnação > Impugnação - Sistema Eletrônico de Votação,10,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
3531,Falsificação de documento público,"Art. 297 - Falsificar, no todo ou em parte, documento público, ou alterar documento público verdadeiro: Pena - reclusão, de dois a seis anos, e multa. § 1º - Se",DIREITO PENAL > Crimes contra a Fé Pública > Falsificação de documento público,10,REVIEW,other,DROP,,,,falsificacao de documento publico: generic,Y
11570,Requisição de Servidor,"Art . 1º - O afastamento de servidores públicos da União, dos Estados, do Distrito Federal, dos Territórios, dos Municípios e das autarquias, para prestar servi",DIREITO ELEITORAL > Administração da Justiça Eleitoral > Servidor > Requisição > Requisição de Servidor,9,REVIEW,other,DROP,,,,administrative / procedural,Y
11724,Diplomação,"Ato pelo qual a Justiça Eleitoral atesta quem são, efetivamente, os eleitos e os suplentes com a entrega do diploma devidamente assinado. Prescreve, ainda,o art",DIREITO ELEITORAL > Diplomação,9,KEEP,cassacao_mandato,DROP,,,,administrative / procedural,Y
12563,Alistamento Eleitoral - Estrangeiro,,DIREITO ELEITORAL > Alistamento Eleitoral > Alistamento Eleitoral - Estrangeiro,9,DROP,voter_roll,DROP,,,,administrative / procedural,
12045,Prestação de Contas,,DIREITO ELEITORAL > Eleições > Prestação de Contas,9,DROP,accounts,DROP,,,,administrative / procedural,
3542,Falsa identidade ,"Art. 307 - Atribuir-se ou atribuir a terceiro falsa identidade para obter vantagem, em proveito próprio ou alheio, ou para causar dano a outrem: Pena - detenção",DIREITO PENAL > Crimes contra a Fé Pública > Falsa identidade ,9,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
12049,Impugnação,,DIREITO ELEITORAL > Eleições > Impugnação,8,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
10608,Quebra do Sigilo Fiscal,"<p> A quebra do sigilo banc&aacute;rio e fiscal decorre e visa instruir procedimento investigat&oacute;rio civil, tribut&aacute;rio ou policial j&aacute; em and",DIREITO PROCESSUAL PENAL > Investigação Penal > Quebra do Sigilo Fiscal,8,REVIEW,other,DROP,,,,off-topic branch (direito processual penal),Y
11498,Retenção de Título Eleitoral ou do Comprovante de Alistamento Eleitoral,Art. 295. Reter título eleitoral contra a vontade do eleitor: Pena - Detenção até dois meses ou pagamento de 30 a 60 dias-multa.,DIREITO ELEITORAL > Crimes Eleitorais > Crimes contra o Sigilo ou o Exercício do Voto > Retenção de Título Eleitoral ou do Comprovante de Alistamento Eleitoral,8,DROP,voter_roll,DROP,,,,administrative / procedural,
3548,Peculato,"Peculato Art. 312 - Apropriar-se o funcionário público de dinheiro, valor ou qualquer outro bem móvel, público ou particular, de que tem a posse em razão do car",DIREITO PENAL > Crimes Praticados por Funcionários Públicos Contra a Administração em Geral > Peculato,8,REVIEW,other,DROP,,,,peculato: generic crime,Y
11643,Eleições - 2° Turno,"Art. 2º Será considerado eleito o candidato a Presidente ou a Governador que obtiver a maioria absoluta de votos, não computados os em branco e os nulos. § 1º S",DIREITO ELEITORAL > Eleições > Eleições - 2° Turno,8,REVIEW,other,DROP,,,,administrative / procedural,Y
11615,Registro de Candidatura,,DIREITO ELEITORAL > Eleições > Candidatos > Registro de Candidatura,7,DROP,routine_registration,DROP,,,,FLAG: unmatched -- review,
11761,Perda de Cargo Eletivo por Desfiliação Partidária,"Art. 1º - O partido político interessado pode pedir, perante a Justiça Eleitoral, a decretação da perda de cargo eletivo em decorrência de desfiliação partidári",DIREITO ELEITORAL > Partidos Políticos > Filiação/Desfiliação > Desfiliação Partidária > Perda de Cargo Eletivo por Desfiliação Partidária,7,DROP,party_internal,DROP,,,,administrative / procedural,
11726,Direitos Políticos - Perda dos Direitos Políticos,"Art. 15. É vedada a cassação de direitos políticos, cuja perda ou suspensão só se dará nos casos de: I - cancelamento da naturalização por sentença transitada e",DIREITO ELEITORAL > Direitos Políticos > Direitos Políticos - Perda dos Direitos Políticos,7,REVIEW,other,DROP,,,,administrative / procedural,Y
11637,Cargo - Senador,"CE: ""Art. 85. A eleição para deputados federais, senadores e suplentes, presidente e vice-presidente da República, governadores, vice-governadores e deputados e",DIREITO ELEITORAL > Eleições > Cargos > Cargo - Senador,7,DROP,cargo_tag,DROP,,,,administrative / procedural,
14220,Contas-  Simplificada,,DIREITO ELEITORAL > Eleições > Recursos Financeiros de Campanha Eleitoral > Contas > Contas - Apresentação de Contas > Contas-  Simplificada,7,DROP,accounts,DROP,,,,prestacao de contas (mandatory),
11447,Não-Apresentação de Denúncia ou Não Execução de Sentença Penal Condenatória no Prazo Legal  ,"Art. 342. Não apresentar o órgão do Ministério Público, no prazo legal, denúncia ou deixar de promover a execução de sentença condenatória: Pena - detenção até ",DIREITO ELEITORAL > Crimes Eleitorais > Crimes contra o Serviço da Justiça Eleitoral > Não-Apresentação de Denúncia ou Não Execução de Sentença Penal Condenatória no Prazo Legal  ,7,REVIEW,other,DROP,,,,administrative / procedural,Y
3401,Constrangimento ilegal ,"Constrangimento ilegal Art. 146 - Constranger alguém, mediante violência ou grave ameaça, ou depois de lhe haver reduzido, por qualquer outro meio, a capacidade",DIREITO PENAL > Crimes contra a liberdade pessoal > Constrangimento ilegal ,7,REVIEW,other,DROP,,,,administrative / procedural,Y
3426,Dano,"Dano Art. 163 - Destruir, inutilizar ou deteriorar coisa alheia: Pena - detenção, de um a seis meses, ou multa. Dano qualificado Parágrafo único - Se o crime é ",DIREITO PENAL > Crimes contra o Patrimônio > Dano,7,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
11442,Perturbação ou Impedimento de Alistamento,Art. 293. Perturbar ou impedir de qualquer forma o alistamento: Pena - Detenção de 15 dias a seis meses ou pagamento de 30 a 60 dias-multa.,DIREITO ELEITORAL > Crimes Eleitorais > Crimes contra o Serviço da Justiça Eleitoral > Perturbação ou Impedimento de Alistamento,6,DROP,voter_roll,DROP,,,,administrative / procedural,
10614,Abolitio Criminis,é uma forma de tornar atípica penalmente uma conduta até então proibida pela lei penal- gera como consequência a cessação imediata da execução e dos efeitos pen,DIREITO PENAL > Parte Geral > Tipicidade > Abolitio Criminis,6,REVIEW,other,DROP,,,,administrative / procedural,Y
11707,Impugnação - Identidade de Eleitor Admitido a Votar,"Art. 147. O presidente da mesa dispensará especial atenção à identidade de cada eleitor admitido a votar Existindo dúvida a respeito, deverá exigir-lhe a exibiç",DIREITO ELEITORAL > Eleições > Garantias Eleitorais > Impugnação > Impugnação - Identidade de Eleitor Admitido a Votar,6,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
10840,Homicídio,,DIREITO PENAL > Crimes Previstos na Legislação Extravagante > Crimes Militares > Homicídio,6,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
9518,Efeito Suspensivo / Impugnação / Embargos à Execução,"<p align=""justify"" class=""Artigo"" style=""color: rgb(0, 0, 0); font-family: Arial; font-size: small; text-indent: 35px;""> Art. 525. &nbsp;Transcorrido o prazo pr",DIREITO PROCESSUAL CIVIL E DO TRABALHO > Liquidação / Cumprimento / Execução > Efeito Suspensivo / Impugnação / Embargos à Execução,6,REVIEW,other,DROP,,,,off-topic branch (direito processual civil e do ),Y
5897,Associação para a Produção e Tráfico e Condutas Afins,"Art. 35. Associarem-se duas ou mais pessoas para o fim de praticar, reiteradamente ou não, qualquer dos crimes previstos nos arts. 33, caput e § 1o, e 34 desta ",DIREITO PENAL > Crimes Previstos na Legislação Extravagante > Crimes de Tráfico Ilícito e Uso Indevido de Drogas > Associação para a Produção e Tráfico e Condutas Afins,6,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
11563,Afastamento de Magistrado,"Art. 72 - Sem prejuízo do vencimento, remuneração ou de qualquer direito ou vantagem legal, o magistrado poderá afastar-se de suas funções até oito dias consecu",DIREITO ELEITORAL > Administração da Justiça Eleitoral > Magistrado > Afastamento de Magistrado,6,REVIEW,other,DROP,,,,administrative / procedural,Y
3406,Violação de domicílio ,"Art. 150 - Entrar ou permanecer, clandestina ou astuciosamente, ou contra a vontade expressa ou tácita de quem de direito, em casa alheia ou em suas dependência",DIREITO PENAL > Crimes contra a inviolabilidade de domicílio > Violação de domicílio ,6,REVIEW,other,DROP,,,,violacao de domicilio: generic crime,Y
10838,Prevaricação,"Art. 319. Retardar ou deixar de praticar, indevidamente, ato de ofício, ou praticá-lo contra expressa disposição de lei, para satisfazer interêsse ou sentimento",DIREITO PENAL > Crimes Previstos na Legislação Extravagante > Crimes Militares > Prevaricação,6,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
3606,Crimes de Abuso de Autoridade (Lei 4.898/1965),<p> Processos relativos aos crimes de abuso de autoridade cometidos por autoridades p&uacute;blicas at&eacute; o dia 3 de janeiro de 2020. Para crimes de abuso ,DIREITO PENAL > Crimes Previstos na Legislação Extravagante > Crimes de Abuso de Autoridade (Lei 4.898/1965),5,KEEP,abuso_poder,DROP,,,,FLAG: unmatched -- review,Y
10952,Fato Atípico,"<p> Para registro das hip&oacute;teses (morte acidental, suic&iacute;dio etc.) em que s&atilde;o instaurados inqu&eacute;ritos mas n&atilde;o h&aacute; indiciam",DIREITO PENAL > Fato Atípico,5,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
12340,Provocação de tumulto ou conduta inconveniente,"<p> <span style=""color: rgb(74, 95, 140); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;"">&nbsp;Provocar tumulto ou portar-se de modo inco",DIREITO PENAL > Contravenções Penais > Provocação de tumulto ou conduta inconveniente,5,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
10991,Corrupção Praticada por Prefeitos e Vereadores,"Art. 1º São crimes de responsabilidade dos Prefeitos Municipal, sujeitos ao julgamento do Poder Judiciário, independentemente do pronunciamento da Câmara dos Ve",DIREITO PENAL > Crimes Contra as Finanças Públicas > Corrupção Praticada por Prefeitos e Vereadores,5,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
3391,Abandono de incapaz,"Abandono de incapaz Art. 133 - Abandonar pessoa que está sob seu cuidado, guarda, vigilância ou autoridade, e, por qualquer motivo, incapaz de defender-se dos r",DIREITO PENAL > Periclitação da Vida e da Saúde > Abandono de incapaz,5,REVIEW,other,DROP,,,,FLAG: unmatched -- review,Y
