instrument,family,outcome,coef,se,t,p,first_stage_F,tF_cv,reject_tF_5pct,nobs
no_pesquisa_adv,composition,delta_incumbent_candidate_vote_share_2024_2020,0.105491554290245,0.0921824236123193,1.14437818139712,0.263305713735231,8.91049065925796,3.03700677474099,FALSE,4860
no_pesquisa_adv,composition,delta_winner_is_female_2024_2020,-0.0611078800852887,0.0907387762843756,-0.673448360090028,0.506840870757628,8.74963906583797,3.06756857749079,FALSE,4860
no_pesquisa_adv,composition,delta_winner_is_new_vs_2020_2024_2020,-0.137863247129612,0.133792666439287,-1.0304245426798,0.312677209278397,8.98150401082324,3.02351423794358,FALSE,4860
no_pesquisa_adv,voter_behavior,delta_turnout_rate_2024_2020,0.00337938178357783,0.00785082605255559,0.430449198715564,0.670557143862067,8.47358515193938,3.12001882113152,FALSE,4860
no_pesquisa_adv,voter_behavior,delta_null_rate_2024_2020,-0.00018659365144591,0.00631964831332144,-0.0295259549574272,0.976679567296564,8.68417745238869,3.08000628404615,FALSE,4860
no_pesquisa_adv,voter_behavior,delta_blank_rate_2024_2020,-0.000836569708829671,0.00658552903590035,-0.127031511708353,0.899931687779297,8.79200186073839,3.05951964645971,FALSE,4860
no_pesquisa_adv,voter_behavior,delta_valid_vote_rate_2024_2020,0.00327023956796002,0.01887165593059,0.173288426833764,0.863820154419069,8.47727467828912,3.11931781112507,FALSE,4860
no_pesquisa_adv,entry,delta_share_first_time_candidates_2024_2020,-0.106166211982074,0.082101966650509,-1.29310193547496,0.207798070518968,8.69623448738676,3.07771544739652,FALSE,4860
no_pesquisa_adv,entry,delta_share_serial_challenger_2024_2020,0.00996281250250164,0.0445670948371961,0.223546375165262,0.824926950296625,8.59942035452274,3.09611013264068,FALSE,4860
no_pesquisa_adv,entry,delta_share_cross_cycle_returner_2024_2020,-0.0188067819374499,0.0354179361611585,-0.530995986097987,0.600107740098669,8.55922449123427,3.10374734666549,FALSE,4860
no_pesquisa_adv,fragmentation,delta_effective_n_candidates_vote_2024_2020,0.00171174215807568,0.16850256764809,0.0101585523708492,0.991975419684197,8.38535688399488,3.13678219204097,FALSE,4860
no_pesquisa_adv,fragmentation,delta_effective_party_count_candidates_2024_2020,-0.0950006969324759,0.328247578920135,-0.289417814580714,0.774648314132335,8.36699452889136,3.14027103951064,FALSE,4860
no_pesquisa_adv,fragmentation,delta_vote_hhi_candidate_2024_2020,-0.000123830055392293,0.050653592474654,-0.0024446450753568,0.998068860540989,8.46013154844272,3.12257500579588,FALSE,4860
no_pesquisa_adv,fragmentation,delta_candidate_hhi_party_2024_2020,-0.000312424862632499,0.0576564790042631,-0.00541872948241252,0.995719509548289,8.26856037454317,3.1589735288368,FALSE,4860
no_pesquisa_adv,fragmentation,delta_top2_vote_share_2024_2020,0.00979895037053014,0.0190448930791636,0.51451852892001,0.611408436840214,8.44388173425141,3.12566247049223,FALSE,4860
no_abuso,primary,delta_runnerup_vote_share_2024_2020,0.0433012750118598,0.0363935165474414,1.18980739207803,0.245299234983824,12.9492012258896,2.53457188966994,FALSE,4697
no_abuso,primary,delta_margin_top1_top2_2024_2020,-0.119020743344867,0.0751009670809476,-1.58480972976794,0.125579091109611,12.0710845134941,2.61360239378553,FALSE,4697
no_abuso,secondary,delta_winner_vote_share_2024_2020,-0.0750661068586536,0.0388056599130027,-1.93441129533532,0.0644568856104298,11.5288458321128,2.67182695846759,FALSE,4697
no_abuso,secondary,delta_winner_majority_2024_2020,-0.0525781149731701,0.0851883781966381,-0.617198215134527,0.542685037701868,12.0357432225202,2.61678310997318,FALSE,4697
no_abuso,secondary,delta_others_vote_share_2024_2020,0.0357274992544666,0.0137233085234002,2.60341733143622,0.0153054832004212,11.9780168779374,2.62241814342689,FALSE,4697
no_abuso,secondary,delta_log1p_n_candidates_with_votes_2024_2020,0.239953464657992,0.0896674124210311,2.67603868762596,0.0129561280376288,12.5409339683694,2.57131594284675,TRUE,4697
no_abuso,composition,delta_female_vote_share_2024_2020,0.00775776239717846,0.0534319250503821,0.145189648133836,0.885725379984025,12.626115933791,2.56364956595881,FALSE,4697
no_abuso,composition,delta_female_share_2024_2020,-0.0190948748465153,0.04950764587682,-0.385695472049413,0.70298477675245,12.6330882723639,2.56302205548725,FALSE,4697
no_abuso,composition,delta_nonwhite_vote_share_2024_2020,-0.0486564472472766,0.0477098677333632,-1.01984032987062,0.317572544687654,12.5327834087779,2.57204949320999,FALSE,4697
no_abuso,composition,delta_new_candidate_vote_share_2024_2020,0.188752125329864,0.119222718332417,1.58318924421421,0.125948306687208,11.7014652422762,2.65283882334962,FALSE,4697
no_abuso,composition,delta_incumbent_candidate_vote_share_2024_2020,-0.105735953082414,0.0849582361778028,-1.24456389208843,0.224833753895384,11.7760211065583,2.64463767827859,FALSE,4697
no_abuso,composition,delta_winner_is_female_2024_2020,-0.0216172964058542,0.0582353011670984,-0.371206054963574,0.713611349965764,12.7947780924829,2.54846997167654,FALSE,4697
no_abuso,composition,delta_winner_is_new_vs_2020_2024_2020,0.177595623570623,0.136486273842683,1.30119768508973,0.205055795894899,11.5184802389281,2.6729671737179,FALSE,4697
no_abuso,voter_behavior,delta_turnout_rate_2024_2020,0.0126640934757555,0.00765500936193125,1.65435375412271,0.110558582590228,12.16973911031,2.6047234800721,FALSE,4697
no_abuso,voter_behavior,delta_null_rate_2024_2020,-0.00600273275178059,0.00467318573750495,-1.28450549345927,0.210740738482732,12.3708119818863,2.58662692163024,FALSE,4697
no_abuso,voter_behavior,delta_blank_rate_2024_2020,-0.00598892771282922,0.00614891896733574,-0.97398058823731,0.339396778431093,12.9812764673893,2.53168511793496,FALSE,4697
no_abuso,voter_behavior,delta_valid_vote_rate_2024_2020,0.0250838868551427,0.0181382600773557,1.38292684900125,0.178915640734735,11.9695786697053,2.62334634633242,FALSE,4697
no_abuso,entry,delta_share_first_time_candidates_2024_2020,0.0597411761208635,0.0806024709006822,0.741182937114623,0.465488262853548,12.4564328142578,2.5789210467168,FALSE,4697
no_abuso,entry,delta_share_serial_challenger_2024_2020,-0.0022437742637591,0.0410076429935168,-0.0547160017003132,0.956799645330729,12.4981395459165,2.57516744086751,FALSE,4697
no_abuso,entry,delta_share_cross_cycle_returner_2024_2020,-0.000712602904058612,0.0288721035937613,-0.0246813642014152,0.980505074560521,12.5855375006609,2.56730162494052,FALSE,4697
no_abuso,fragmentation,delta_effective_n_candidates_vote_2024_2020,0.241622252418081,0.0949618586152468,2.54441368294035,0.0175010412834339,11.7429862329955,2.64827151437049,FALSE,4697
no_abuso,fragmentation,delta_effective_party_count_candidates_2024_2020,0.365436448298992,0.228709278849057,1.597820823615,0.122646931825378,12.184893314085,2.60335960173235,FALSE,4697
no_abuso,fragmentation,delta_vote_hhi_candidate_2024_2020,-0.0637254139482617,0.0365162075110274,-1.7451268434439,0.0932449744824104,11.6310761585825,2.66058162255593,FALSE,4697
no_abuso,fragmentation,delta_candidate_hhi_party_2024_2020,-0.0583683610448067,0.0430654749176823,-1.35534000626663,0.187429028962128,11.6925973371295,2.65381429291575,FALSE,4697
no_abuso,fragmentation,delta_top2_vote_share_2024_2020,-0.0329338205262218,0.0144270000745011,-2.28279062564298,0.0312139682494292,12.0088345581435,2.61920488976709,FALSE,4697
