variant,spec,family,outcome,coef,se,t,p,ivf,nobs,n_clusters,first_stage_F_lookup,tF_cv,ci95_low_tF,ci95_high_tF,reject_tF_5pct
adversarial,baseline_state_fe_sz,elected_comp,delta_incumbent_reelected_share_2024_2020,0.00564437189724906,0.0252383843007516,0.223642362759369,0.823057903209941,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0508328993900671,0.0621216431845652,FALSE
adversarial,baseline_state_fe_sz,party_comp,delta_party_count_2024_2020,-0.376370656025529,0.353622608463717,-1.06432860065322,0.287305334975816,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-1.16769072443969,0.414949412388635,FALSE
adversarial,baseline_state_fe_sz,party_comp,delta_coalition_count_2024_2020,0.0645371891027667,0.0700842868790357,0.920851049168223,0.357236653487281,230.482953895958,5371,2049,18.0561739072633,2.23775304370947,-0.0922941371770031,0.221368515382537,FALSE
adversarial,robustness_full_controls,candidate_pool,delta_log1p_total_candidates_2024_2020,-0.0734309278742557,0.0411206695780047,-1.78574251411348,0.0742795396279743,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.163453917598502,0.0165920618499911,FALSE
adversarial,robustness_full_controls,candidate_pool,delta_female_share_2024_2020,0.000377786451055042,0.00488486789897514,0.0773381100304273,0.938361651917583,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0103163587850664,0.0110719316871765,FALSE
adversarial,robustness_full_controls,candidate_pool,delta_nonwhite_share_2024_2020,0.0155354423171594,0.0191918030942129,0.809483207017894,0.418325357978169,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0264800090475781,0.057550893681897,FALSE
adversarial,robustness_full_controls,candidate_pool,delta_new_candidate_share_2024_2020,-0.0187825787749291,0.0159056579992641,-1.18087404971225,0.237781226532629,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0536038718452892,0.0160387142954309,FALSE
adversarial,robustness_full_controls,candidate_pool,delta_incumbent_candidate_share_2024_2020,-0.00789287311488473,0.0105019016359464,-0.751566086647456,0.452392949072598,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0308840498821898,0.0150983036524204,FALSE
adversarial,robustness_full_controls,candidate_pool,delta_effective_party_count_candidates_2024_2020,-0.244109862146042,0.303148413798142,-0.805248686897591,0.420763761808774,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.907774311687723,0.419554587395641,FALSE
adversarial,robustness_full_controls,candidate_pool,delta_candidate_hhi_party_2024_2020,0.00872788867939779,0.0112958859082137,0.772660838673255,0.439806659542668,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0160015097345161,0.0334572870933116,FALSE
adversarial,robustness_full_controls,elected_comp,delta_elected_female_share_2024_2020,0.0175148060574483,0.0224657124884253,0.779623885352944,0.435696689067306,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0316680167236084,0.0666976288385049,FALSE
adversarial,robustness_full_controls,elected_comp,delta_elected_nonwhite_share_2024_2020,0.00280732794843928,0.0252163606796161,0.111329623814773,0.911365185549693,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0523973222102299,0.0580119781071085,FALSE
adversarial,robustness_full_controls,elected_comp,delta_elected_higher_ed_share_2024_2020,0.00845598321188611,0.0260514947100399,0.324587257122996,0.745524529778693,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0485769752649781,0.0654889416887503,FALSE
adversarial,robustness_full_controls,elected_comp,delta_elected_mean_age_2024_2020,-0.00762343423484431,0.585128279966126,-0.0130286545632107,0.98960612065289,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-1.28860931494464,1.27336244647495,FALSE
adversarial,robustness_full_controls,elected_comp,delta_incumbent_reelected_share_2024_2020,0.00517289749144807,0.025277467134839,0.204644613475472,0.837868847919282,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0501655293261877,0.0605113243090838,FALSE
adversarial,robustness_full_controls,party_comp,delta_party_count_2024_2020,-0.227926763361926,0.355718368118046,-0.640750615628283,0.521751884945148,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-1.00667942781138,0.550825901087527,FALSE
adversarial,robustness_full_controls,party_comp,delta_coalition_count_2024_2020,0.0692836272367045,0.0671216193086912,1.03221030645984,0.30208779119276,230.927966484585,5560,2187,19.3586868857799,2.1892393934266,-0.0776616659044659,0.216228920377875,FALSE
adversarial,subsample_le200k,candidate_pool,delta_log1p_total_candidates_2024_2020,-0.0786553747820586,0.0415313896719985,-1.89387774893288,0.0583760482953068,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.16974061326472,0.0124298637006026,FALSE
adversarial,subsample_le200k,candidate_pool,delta_female_share_2024_2020,-0.00565091373318756,0.00632029298683666,-0.894090470957087,0.371374074858809,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.0195123664448085,0.00821053897843338,FALSE
adversarial,subsample_le200k,candidate_pool,delta_nonwhite_share_2024_2020,-0.0176567115340528,0.0189076031079522,-0.933841874786694,0.350490867403771,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.0591242268718429,0.0238108038037373,FALSE
adversarial,subsample_le200k,candidate_pool,delta_new_candidate_share_2024_2020,-0.019983998512486,0.0158733339795696,-1.25896667569694,0.208179744998608,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.0547968574720032,0.0148288604470312,FALSE
