election_year,classe,nat_n,national_share,muni_mean_share,n_munis_with,st_mean,st_min,st_max,st_p25,st_p75,pct_munis_with
2024,INCIDENTE DE IMPEDIMENTO / SUSPEIÇÃO,85,7.242974527736758e-05,7.375362527740892e-05,52,0.00013330880306902627,4.012036108324975e-05,0.0007218479307025986,5.1686293439180696e-05,0.00010331196244423435,0.9
2024,ACORDO DE NÃO PERSECUÇÃO PENAL,73,6.220436947350392e-05,4.9680854631512436e-05,44,0.002145645369924486,4.1406152954329015e-05,0.02158273381294964,0.0001259384272002593,0.00034811553772730384,0.8
2024,EXECUÇÃO FISCAL,65,5.538745227092815e-05,3.030542515769092e-05,28,0.00010983966194074713,2.1185991822207156e-05,0.00046345811051693407,3.842413896564115e-05,9.633904516456903e-05,0.5
2024,RESTITUIÇÃO DE COISAS APREENDIDAS,59,5.027476436899632e-05,4.253363888431336e-05,42,0.0011973757372050746,2.1909164603553667e-05,0.014388489208633094,5.650994575045208e-05,0.00027114967462039046,0.8
2024,EXECUÇÃO DA PENA,48,4.090150321545463e-05,4.190824765838952e-05,42,0.0004560554668852006,1.4178564845666322e-05,0.007194244604316547,2.2218240771262634e-05,7.554877476345042e-05,0.8
2024,PEDIDO DE QUEBRA DE SIGILO DE DADOS E/OU TELEFÔNICO,45,3.8345159264488716e-05,2.350504441359833e-05,41,6.924682535308764e-05,5.29501156960028e-06,0.00026317520889532203,3.711978018685065e-05,7.568130158308993e-05,0.7
2024,HABEAS CORPUS CRIMINAL,41,3.493670066320083e-05,3.3164775458271675e-05,30,0.00010722000157516107,1.6885806916426514e-05,0.00044317822095599874,2.215182863345369e-05,8.020532563362207e-05,0.5
2024,CARTA DE ORDEM CRIMINAL,29,2.4711324859337176e-05,2.0578210432089077e-05,26,4.024330027475753e-05,1.0954582301776834e-05,9.157299512373801e-05,2.385439278643162e-05,4.813014390913029e-05,0.5
2024,PEDIDO DE COOPERAÇÃO JUDICIÁRIA,26,2.215498090837126e-05,2.4474592924682002e-05,22,0.0001362212891285355,1.059002313920056e-05,0.0010017530678687703,3.5650623885918004e-05,9.626028781826057e-05,0.4
2024,RECURSO EM SENTIDO ESTRITO,19,1.619017835611746e-05,8.900998729874336e-06,6,0.0001371729508368932,2.385439278643162e-05,0.0004991087344028521,2.6520978093672095e-05,9.626028781826057e-05,0.1
2024,LIBERDADE PROVISÓRIA COM OU SEM FIANÇA,15,1.2781719754829572e-05,5.810294696343518e-06,5,0.0006474037191944022,0.00023868880284304885,0.0012026458208057728,0.000369782668388717,0.0008517611773700789,0.1
2024,IMPUGNAÇÃO À COMPOSIÇÃO DE JUNTA ELEITORAL,15,1.2781719754829572e-05,2.72805529510068e-05,12,6.846995107862316e-05,1.4178564845666322e-05,0.0002005133140840552,2.0757730961031044e-05,9.116848604509234e-05,0.2
2024,CUMPRIMENTO PROVISÓRIO DE DECISÃO,11,9.373261153541687e-06,1.9327256600223113e-06,4,3.307402986670651e-05,1.1446624390467251e-05,4.765510412640252e-05,2.57834927368585e-05,4.388773260482614e-05,0.1
2024,CAUTELAR FISCAL,9,7.669031852897744e-06,4.899725577384374e-06,6,4.7136890164385214e-05,1.0954582301776834e-05,9.500285008550257e-05,1.749762426432994e-05,6.566940803084218e-05,0.1
2024,PRODUÇÃO ANTECIPADA DA PROVA,6,5.112687901931829e-06,3.0045203889784226e-06,6,1.665618721236794e-05,5.29501156960028e-06,4.1406152954329015e-05,1.0954582301776834e-05,1.4178564845666322e-05,0.1
2024,INCIDENTE DE FALSIDADE,6,5.112687901931829e-06,5.614583016621007e-06,5,2.5849080410778275e-05,5.628602305475504e-06,4.7501425042751285e-05,1.7839024029034127e-05,3.31432035291873e-05,0.1
2024,MANDADO DE SEGURANÇA CRIMINAL,5,4.260573251609858e-06,1.117284665154241e-06,4,3.108681296908949e-05,1.5885034708800837e-05,5.422993492407809e-05,1.9515251991595188e-05,3.868770209923382e-05,0.1
2024,COMUNICADO DE MANDADO DE PRISÃO,5,4.260573251609858e-06,2.633503478898553e-06,4,0.0001923546531320396,2.314546927438954e-05,0.0005008765339343851,3.809371273086687e-05,0.00027695924506086463,0.1
2024,EMBARGOS À EXECUÇÃO FISCAL,4,3.408458601287886e-06,3.3149406816331646e-06,3,3.651414113767308e-05,2.1185991822207156e-05,5.304195618734419e-05,2.825023361283752e-05,4.4178215795406036e-05,0.1
2024,HOMOLOGAÇÃO EM ACORDO DE COLABORAÇÃO PREMIADA,4,3.408458601287886e-06,5.4050063852031165e-06,2,0.00010044405278431672,1.0954582301776834e-05,0.0001899335232668566,5.569931754304677e-05,0.00014518878802558666,0.0
