A,nat_share,cv,n_states,dim
DIVULGACAO DE PESQUISA DE FRAUDULENTA,2.206986700388391e-05,0.8677542637783466,16,assunto
"OCULTACAO, SONEGACAO OU RECUSA DE FORNECIMENTO DE UTILIDADES, ALIMENTOS E TRANSPORTE NO DIA DA ELEICAO",2.206986700388391e-05,0.9389111805422223,19,assunto
UTILIZACAO DE ORGANIZACAO COMERCIAL PARA PROPAGANDA OU ALICIAMENTO DE ELEITORES,2.1295485705502018e-05,0.92647932623271,19,assunto
INELEGIBILIDADE - CONDENACAO CRIMINAL POR ORGAO COLEGIADO OU TRANSITADA EM JULGADO,2.0908295056311073e-05,1.2700364394269192,19,assunto
ALTERACAO ESTATUTARIA DE PARTIDO POLITICO EM MATERIA ADMINISTRATIVA,1.9359532459547287e-05,1.4003135945060023,18,assunto
UTILIZACAO DE PREDIOS OU SERVICOS DE REPARTICOES PUBLICAS PARA BENEFICIAR PARTIDO OU ORGANIZACAO DE CARATER POLITICO,1.8585151161165398e-05,0.8087536929601044,16,assunto
CONDICAO DE ELEGIBILIDADE - ALISTAMENTO ELEITORAL,1.819796051197445e-05,0.5555797451579001,19,assunto
DESACATO,1.7810769862783505e-05,0.791594692126672,18,assunto
ATOS EXECUTORIOS,1.6649197915210668e-05,1.089938668954135,15,assunto
OBSTAMENTO DO TRANSPORTE E FORNECIMENTO DE ALIMENTOS A ELEITORES PELA JUSTICA ELEITORAL,1.548762596763783e-05,2.0716395744728717,16,assunto
DIREITOS POLITICOS - SUSPENSAO DE DIREITOS POLITICOS,1.5100435318446886e-05,1.4844208110588106,18,assunto
HABEAS CORPUS - PREVENTIVO,1.471324466925594e-05,0.8773741258860014,17,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - TELEMARKETING,1.4326054020064993e-05,0.5628543429038658,17,assunto
IMPUGNACAO DE ATO JUDICIAL,1.2390100774110265e-05,0.58551546467825,16,assunto
FALSIFICACAO DE DOCUMENTO PARTICULAR,1.2002910124919319e-05,3.862499289602728,16,assunto
ALICIAMENTO DE ELEITORES,1.1615719475728374e-05,1.2353597323106542,16,assunto
CRIMES DO SISTEMA NACIONAL DE ARMAS,1.1615719475728374e-05,0.861779931887532,16,assunto
NAO CUMPRIMENTO DOS DEVERES IMPOSTOS PELO CODIGO ELEITORAL A AUTORIDADE JUDICIARIA E AOS FUNCIONARIOS DA JUSTICA ELEITORAL,1.1228528826537427e-05,3.5666181932003864,16,assunto
CRIMES CONTRA O SERVICO DA JUSTICA ELEITORAL,1.0454147528155536e-05,1.1073942935111964,16,assunto
UTILIZACAO DE VEICULOS E EMBARCACOES PUBLICAS EM CAMPANHA ELEITORAL,1.006695687896459e-05,1.7930165247943566,15,assunto
INDUZIMENTO A INSCRICAO DE ELEITOR EM INFRACAO AS NORMAS LEGAIS,8.905384931391753e-06,0.7738268517398662,15,assunto
