election_year,assunto,nat_n,national_share,muni_mean_share,n_munis_with,st_mean,st_min,st_max,st_p25,st_p75,pct_munis_with
2020,Tutela de Evidência,8,5.677688953488372e-06,5.186672720555731e-06,7,3.216055033755078e-05,8.867410051209293e-06,0.00010479983232026829,1.292841536412882e-05,1.893222264293828e-05,0.1
2020,Inelegibilidade - Parentesco,8,5.677688953488372e-06,1.1230703623903899e-05,7,2.858197947610922e-05,5.032206119162641e-06,7.351319561861354e-05,1.007175480826601e-05,4.131723810836865e-05,0.1
2020,Abolitio Criminis,8,5.677688953488372e-06,2.9266519587794807e-06,4,4.823361573921341e-05,2.897626843615079e-05,7.63743565460461e-05,3.5405677202158754e-05,5.661985752438304e-05,0.1
2020,Correição extraordinária,8,5.677688953488372e-06,1.6235492532809789e-06,4,5.0564778869806974e-05,3.786444528587656e-05,6.326511245373739e-05,4.421461207784177e-05,5.691494566177218e-05,0.1
2020,Certidão ou atestado ideologicamente falso,8,5.677688953488372e-06,3.470699300937603e-06,6,6.454202682617864e-05,4.433705025604646e-06,0.00015718327569946557,1.7097288509043867e-05,0.00011497639103155656,0.1
2020,Denunciação Caluniosa para Fins Eleitorais,8,5.677688953488372e-06,6.647956528371226e-06,8,1.7912829365097785e-05,9.599324207575787e-06,2.585683072825764e-05,1.2595756247146935e-05,2.257851399158937e-05,0.1
2020,"Destruição, Supressão ou Ocultação de Urna Contendo Votos ou Documentos Eleitorais",8,5.677688953488372e-06,6.883425785583391e-06,7,4.939731501473546e-05,1.292841536412882e-05,0.00013746649254244277,2.379394444113973e-05,3.786444528587656e-05,0.1
2020,Crimes contra a Organização Administrativa da Justiça Eleitoral,7,4.967977834302326e-06,4.931082376683267e-06,7,6.568564934765149e-05,9.599324207575787e-06,0.00015010507355148604,3.6214078121325865e-05,8.09906710420977e-05,0.1
2020,Propaganda Política - Propaganda Eleitoral - Carreata/Caminhada/Passeata,7,4.967977834302326e-06,4.695463275683415e-06,5,3.165127931891984e-05,1.8439637845512713e-05,5.221023320570832e-05,1.900889577274186e-05,4.062000665840716e-05,0.1
2020,Crimes do Sistema Nacional de Armas,7,4.967977834302326e-06,8.061985613754069e-06,6,7.459959150975349e-05,3.2976092333058534e-05,0.00015718327569946557,3.7500937523438084e-05,9.017132551848512e-05,0.1
2020,Coligação Partidária - Majoritária e Proporcional,7,4.967977834302326e-06,3.972583309776368e-06,6,2.555372771100653e-05,9.599324207575787e-06,5.0035024517162014e-05,1.7662467762805257e-05,3.283954106145819e-05,0.1
2020,Concurso Público,7,4.967977834302326e-06,2.654820000892423e-06,7,1.394949073305988e-05,4.433705025604646e-06,3.8785246092386455e-05,5.032206119162641e-06,1.1896972220569864e-05,0.1
2020,Peculato,7,4.967977834302326e-06,2.848901397102417e-06,6,0.00011020534595458751,1.1896972220569864e-05,0.00031436655139893113,3.734270350086321e-05,0.00013014157255314884,0.1
2020,Majoração de Preços de Utilidade e Serviços Necessários à Realização das Eleições,7,4.967977834302326e-06,1.4200789108812642e-06,3,3.845561610404734e-05,9.599324207575787e-06,8.70170553428472e-05,1.4174896484647415e-05,5.288376205228312e-05,0.1
2020,Direitos Políticos - Perda dos Direitos Políticos,7,4.967977834302326e-06,4.031159074519441e-06,6,2.6744739772234265e-05,4.433705025604646e-06,6.986655488017886e-05,6.748397644514447e-06,4.0774014023013036e-05,0.1
2020,Exceção - De Coisa Julgada,6,4.258266715116279e-06,3.5235828828069183e-06,5,3.694133185536056e-05,5.032206119162641e-06,6.873324627122139e-05,2.897626843615079e-05,4.508566275924256e-05,0.1
2020,Cargos,6,4.258266715116279e-06,7.351993144096995e-06,5,2.8998605841911926e-05,1.0544185408956232e-05,5.679666792881484e-05,1.1558775517666456e-05,4.176661533918379e-05,0.1
2020,Coleta de Assinatura em Mais de Uma Ficha de Registro Partidário,6,4.258266715116279e-06,4.758719403681907e-06,6,2.2441193409580856e-05,8.867410051209293e-06,4.508566275924256e-05,9.599324207575787e-06,3.675659780930677e-05,0.1
2020,Uso de documento falso,6,4.258266715116279e-06,2.9844664301976356e-06,4,4.069562739458673e-05,1.8750468761719042e-05,6.873324627122139e-05,2.679325265376388e-05,5.155177201352609e-05,0.1
2020,Exercício arbitrário ou abuso de poder,6,4.258266715116279e-06,2.9881088924190144e-06,6,3.244584670120043e-05,8.867410051209293e-06,5.795253687230158e-05,1.1913164035898938e-05,5.2014402605946906e-05,0.1
2020,Inelegibilidade - Reeleição,6,4.258266715116279e-06,3.70863954666797e-06,6,1.3506531481838776e-05,4.433705025604646e-06,2.1088370817912464e-05,8.656735435145123e-06,1.910182108861265e-05,0.1
2020,Corrupção ativa,6,4.258266715116279e-06,4.470007564723448e-06,6,6.798345956135111e-05,1.527487130920922e-05,0.00013746649254244277,2.231047253580831e-05,0.00013539128080151638,0.1
2020,Autuação e Processamento,6,4.258266715116279e-06,2.730496366682407e-06,3,3.5456154935833424e-05,1.9198648415151573e-05,5.171366145651528e-05,2.73274016754925e-05,4.358490819617435e-05,0.1
2020,Intimação / Notificação,6,4.258266715116279e-06,3.1694625021310902e-06,5,0.00013386283521484986,0.00013386283521484986,0.00013386283521484986,0.00013386283521484986,0.00013386283521484986,0.1
2020,Inelegibilidade - Vida Pregressa,5,3.5485555959302325e-06,2.3679001674322173e-06,4,6.497938928628936e-05,1.7403411068569438e-05,0.00020100502512562814,1.874983907850604e-05,6.698411068326328e-05,0.1
2020,Retenção de Título Eleitoral ou do Comprovante de Alistamento Eleitoral,5,3.5485555959302325e-06,6.3298000218829056e-06,4,3.682549639959761e-05,2.897626843615079e-05,4.462094507161662e-05,3.292777206358811e-05,4.075011038132102e-05,0.1
2020,Registro de Candidatura - Substituição de Candidato - Por Cassação de Registro,5,3.5485555959302325e-06,3.6777871945093286e-06,4,2.0866341106007555e-05,4.433705025604646e-06,5.0035024517162014e-05,8.656735435145123e-06,2.6707923111494213e-05,0.1
2020,Prestação de Contas,5,3.5485555959302325e-06,2.133101702015902e-06,4,1.3747431608447628e-05,8.867410051209293e-06,2.231047253580831e-05,9.465911144767287e-06,1.6187442387066794e-05,0.1
