SG_UF,SG_UE,NM_UE,bartik_iv_no_rrc,dominant_topic_share_no_rrc,share_hhi_no_rrc,avg_shock_equal_weight,avg_abs_shock_equal_weight,n_topics_no_rrc,baseline_lawsuits_no_rrc_2020
MT,90506,CAMPO VERDE,-0.2005629599775543,0.7183098591549296,0.5530648680817297,0.009744266131631818,0.22190471701199796,12.0,142.0
MT,90522,CLÁUDIA,-0.2111719869911185,0.7171717171717171,0.5565758596061627,-0.1040171939321863,0.2316935997937874,7.0,99.0
MT,90549,CASTANHEIRA,-0.1361669554238357,0.54,0.31120000000000003,-0.18520353647078008,0.32586578937527055,15.0,50.0
MT,90565,JANGADA,-0.0514528966687366,0.9230769230769231,0.8553583168967787,0.12178345315303456,0.17418696560671634,3.0,39.0
MT,90581,JURUENA,-0.1816947239608616,0.5116279069767442,0.33910221741481883,-0.2527869503875263,0.3611215430385154,7.0,43.0
MT,90590,CHAPADA DOS GUIMARÃES,-0.1835030123395216,0.5074626865671642,0.30541323234573403,-0.19610763422596664,0.2747403991668852,14.0,67.0
MT,90603,LUCAS DO RIO VERDE,-0.1025534567061985,0.3944954128440367,0.18929383048564938,-0.043210104600198654,0.3826568128747578,20.0,109.0
MT,90620,MATUPÁ,-0.1774211111872706,0.4020618556701031,0.2439154001487937,-0.1344400774152906,0.2567644355956443,14.0,97.0
MT,90646,NOVA MUTUM,-0.015100290726872,0.2909090909090909,0.1861157024793388,0.01361154760116764,0.2007337080427755,10.0,55.0
MT,90662,RIBEIRÃO CASCALHEIRA,-0.2202737216279645,0.7377049180327869,0.5730986294006988,-0.12846809759499667,0.1615883226195732,8.0,122.0
MT,90670,CUIABÁ,-0.1385755326474256,0.46601941747572817,0.2615703647846168,-0.14542054117999792,0.24021555709814518,13.0,103.0
MT,90689,TAPURAH,-0.1025534567061985,0.3944954128440367,0.18929383048564938,-0.043210104600198654,0.3826568128747578,20.0,109.0
MT,90697,DIAMANTINO,-0.1905088596133978,0.5454545454545454,0.45362718089990817,-0.20909576449951037,0.23166121324522435,6.0,66.0
MT,90700,PONTAL DO ARAGUAIA,-0.0781153672934907,0.4344262295081967,0.2148615963450685,-0.04148878677421397,0.26951290792250526,18.0,122.0
MT,90719,DOM AQUINO,-0.2005629599775543,0.7183098591549296,0.5530648680817297,0.009744266131631818,0.22190471701199796,12.0,142.0
MT,90727,SAPEZAL,-0.2031928358213394,0.5166666666666667,0.3711111111111111,-0.24867101232309832,0.3248968466499136,10.0,60.0
MT,90743,CAMPOS DE JÚLIO,-0.2031928358213394,0.5166666666666667,0.3711111111111111,-0.24867101232309832,0.3248968466499136,10.0,60.0
MT,90760,CARLINDA,-0.1362429297476569,0.5588235294117647,0.3663494809688581,-0.13751438608787336,0.2584360619302861,8.0,68.0
MT,90778,GENERAL CARNEIRO,-0.0781153672934907,0.4344262295081967,0.2148615963450685,-0.04148878677421397,0.26951290792250526,18.0,122.0
MT,90786,FELIZ NATAL,-0.1462670142468246,0.42857142857142855,0.3502040816326531,0.002590737988296432,0.20399904161371438,10.0,70.0
MT,90808,NOVO MUNDO,-0.1098948273406446,0.5,0.3143491124260356,-0.08310353578986707,0.19724365398624694,11.0,52.0
MT,90824,GAÚCHA DO NORTE,-0.1469136707875621,0.5208333333333334,0.3172743055555555,-0.08580568449536059,0.26229068449391024,14.0,96.0
MT,90832,GUIRATINGA,-0.0974305457085522,0.43859649122807015,0.22437673130193903,-0.12880739288988396,0.27637152117703456,14.0,57.0
MT,90840,UNIÃO DO SUL,-0.2111719869911185,0.7171717171717171,0.5565758596061627,-0.1040171939321863,0.2316935997937874,7.0,99.0
MT,90867,NOVA LACERDA,-0.1138275148350815,0.7419354838709677,0.5619146722164413,-0.22996234727631806,0.351844848883166,9.0,62.0
MT,90883,NOVA UBIRATÃ,-0.1098410691680251,0.36036036036036034,0.17490463436409381,-0.060315444097350124,0.29914251901820854,17.0,111.0
MT,90905,BOM JESUS DO ARAGUAIA,-0.0851895289538234,0.6530612244897959,0.449396084964598,-0.0970540712774568,0.29844241614916706,10.0,49.0
MT,90913,ITIQUIRA,-0.3639987850024788,0.5333333333333333,0.35703703703703704,-0.06183457485167284,0.2591480338761412,7.0,45.0
MT,90921,SERRA NOVA DOURADA,-0.0851895289538234,0.6530612244897959,0.449396084964598,-0.0970540712774568,0.29844241614916706,10.0,49.0
MT,90948,NOVO SANTO ANTÔNIO,-0.226594747697291,0.6,0.4026666666666667,-0.3832707851181883,0.4131323934299566,7.0,75.0
MT,90956,JACIARA,-0.1538348864452502,0.5238095238095238,0.3061224489795918,-0.15355151515968693,0.3686292622624885,15.0,63.0
MT,90964,NOVA NAZARÉ,-0.209152963512064,0.2727272727272727,0.17661463116008572,-0.22963077673720045,0.2561249267877129,13.0,99.0
MT,90980,SANTA CRUZ DO XINGU,-0.1332852309623733,0.7741935483870968,0.610822060353798,-0.2961517380763065,0.33099028110670287,6.0,31.0
MT,91006,CONQUISTA D'OESTE,-0.1138275148350815,0.7419354838709677,0.5619146722164413,-0.22996234727631806,0.351844848883166,9.0,62.0
MT,91022,VALE DE SÃO DOMINGOS,-0.0572349082095645,0.6341463414634146,0.42058298631766805,-0.04365513719677036,0.29323650831752857,11.0,41.0
MT,91049,SANTA RITA DO TRIVELATO,-0.015100290726872,0.2909090909090909,0.1861157024793388,0.01361154760116764,0.2007337080427755,10.0,55.0
MT,91057,LUCIARA,-0.226594747697291,0.6,0.4026666666666667,-0.3832707851181883,0.4131323934299566,7.0,75.0
MT,91081,IPIRANGA DO NORTE,-0.1098410691680251,0.36036036036036034,0.17490463436409381,-0.060315444097350124,0.29914251901820854,17.0,111.0
MT,91090,VILA BELA DA SANTÍSSIMA TRINDADE,-0.0572349082095645,0.6341463414634146,0.42058298631766805,-0.04365513719677036,0.29323650831752857,11.0,41.0
