"ano","sigla_uf","nome_municipio","n_polls"
2004,"SP","São José do Rio Preto",4
2004,"BA","Vitória da Conquista",1
2004,"SP","Presidente Prudente",4
2004,"SP","Sorocaba",4
2004,"BA","Feira de Santana",2
2004,"SP","Piracicaba",5
2004,"SP","Jundiaí",1
2004,"MG","Ipatinga",1
2004,"PA","Santarém",1
2004,"MG","Governador Valadares",3
2004,"PR","Feira de Santana",2
2004,"PR","Foz do Iguaçu",2
2004,"RJ","Volta Redonda",1
2004,"PA","Castanhal",1
2004,"RJ","Petrópolis",1
2004,"PE","Vitória de Santo Antão",1
2004,"RJ","Cabo Frio",1
2008,"PA","Parauapebas",2
2008,"PR","Ponta Grossa",2
2008,"MA","Imperatriz",1
2012,"SP","Osasco",8
2020,"ES","Vila Velha",3
2020,"ES","Serra",4
2020,"ES","Cariacica",2
2012,"BA","Camaçari",1
2012,"BA","Ribeira do Pombal",1
2024,"MG","Belo Horizonte",3
2020,"MG","Juiz de Fora",1
2024,"SP","Guarulhos",1
2024,"PB","João Pessoa",1
2020,"GO","Goiânia",13
2024,"SP","Ribeirão Preto",1
2024,"SP","Santo André",1
2024,"SP","Santos",2
2008,"SP","Penápolis",1
2008,"SP","Santa Bárbara D`Oeste",1
2008,"SP","São Sebastião",1
2016,"SP","Piracicaba",1
2020,"PE","Caruaru",1
2004,"SP","Taubaté",3
2004,"CE","Maracanaú",1
2004,"RJ","Nilópolis",1
2008,"RR","Boa Vista",3
2008,"SP","Rio Grande da Serra",2
2008,"RO","Porto Velho",3
2008,"MG","Pouso Alegre",3
2008,"BA","Porto Seguro",1
2008,"PR","Apucarana",1
2008,"SC","Balneário Camboriú",1
2008,"MG","Uberaba",2
2008,"RJ","Araruama",1
2008,"PR"," Paranavaí",1
2012,"SP","Mogi das Cruzes",3
2012,"MG","Araxá",1
2012,"BA","Feira de Santana",3
2012,"SP","Barueri",1
2016,"CE","Caucaia",3
2020,"SP","Ribeirão Preto",3
2020,"MG","Uberlândia",2
2004,"RS","Pelotas",3
2008,"RJ","Volta Redonda",2
2016,"GO","Catalão",1
2024,"ES","Vitória",2
2004,"RS","Santa Maria",3
2004,"RS","Canoas",2
2008,"SP","Americana",1
2024,"SE","Aracaju",2
2004,"SP","Catanduva",1
2008,"SP","Atibaia",2
2008,"SP","Guaratinguetá",1
2008,"SP","Catanduva",1
2008,"RJ","São Gonçalo",1
2012,"RJ","Nova Iguaçu",1
2004,"SP","Jacareí",1
2004,"SP","Pindamonhangaba",1
2008,"SP","Jundiaí",1
2012,"SP","Ribeirão Pires",2
2012,"SP","Mauá",7
2012,"SP","Diadema",5
2012,"SP","São Bernardo do Campo",3
2004,"TO","Araguaína",1
2004,"SP","Limeira",1
2004,"GO","Aparecida de Goiânia",2
2004,"GO","Luziânia",1
2004,"RJ","Itaboraí",1
2004,"PE","Paulista",1
2008,"AL","Maceió",4
2008,"ES","Serra",3
2008,"RJ","Maricá",2
2008,"RJ","Nova Friburgo",1
2008,"RJ","Petrópolis",1
2012,"SP","Taubaté",3
2012,"RJ","Duque de Caxias",1
2012,"SP","Itaquaquecetuba",1
2016,"SP","Taubaté",2
2020,"ES","Vitória",7
2020,"SP","Limeira",1
2024,"MS","Campo Grande",1
2020,"PI","Teresina",8
2020,"MS","Campo Grande",8
2024,"MS",NA,1
2008,"GO","Aparecida de Goiânia",2
2008,"GO","Trindade",1
2008,"GO","Rio Verde",1
2008,"GO","Luziânia",1
2004,"CE","Juazeiro do Norte",1
2004,"CE","Sobral",1
2004,"RJ","Barra Mansa",1
2004,"MG","Poços de Caldas",3
2004,"CE","Caucaia",2
2008,"PA","Ananindeua",2
2008,"PR","Londrina",2
2008,"SP","Poá",1
2008,"MS","Ponta Porã",1
2008,"PR","Campo Mourão",1
2008,"SP","São Carlos",1
2008,"SP","Paulínia",1
2008,"PR","Pato Branco",2
2008,"SP","Presidente Prudente",2
2008,"SC","Lages",1
2012,"AP","Macapá",5
2012,"PE","Petrolina",1
2012,"SP","Bauru",2
2020,"RJ","Campo dos Goytacazes",1
2020,"RS","Caxias do Sul",1
2020,"CE","Recife",1
2008,"ES","Cariacica",2
2008,"BA","Candeias",1
2020,"MG","Betim",1
2020,"SP","São José do Rio Preto",1
2008,"SP","Sumaré",1
