SG_UF,SG_UE,NM_UE,n_candidates_2016,top1_share_2016,margin_2016,hhi_2016,enp_2016,winner_party_2016,winner_sq_2016,winner_name_2016,code_micro,name_micro,log_pop_2010,urban_share_2010,log_income_pc_2010,share_first_time_candidates_2020,mean_prior_candidacies_2020,share_prior_winners_2020,share_career_politicians_2020,turnout_rate_2020,abstention_rate_2020,blank_share_2020,null_share_2020,incumbent_ran_2024,incumbent_won_2024,party_switch_2024
MA,07013,AFONSO CUNHA,3,0.4328239730105179,0.1422901369319309,0.3482774033111289,2.8712744223220925,PTB,100000010811,ARQUIMEDES AMERICO BACELAR,21016,Coelho Neto,8.68253812400308,0.0,0.0,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.0,0.8355620867009552,0.1644379132990448,0.0043967639817094,0.0239183960604994,1.0,1.0,1.0
MA,07021,ALTO ALEGRE DO MARANHÃO,1,1.0,1.0,1.0,1.0,PDT,100000007166,EMMANUEL DA CUNHA SANTOS AROSO NETO,21015,Codó,10.1092407646463,0.0,0.0,0.8,0.3,0.1,0.0,0.7710791444426486,0.2289208555573514,0.0069172722191168,0.0306036892118501,1.0,0.0,1.0
MA,07030,ALCÂNTARA,4,0.6370503328098123,0.469224440954304,0.4598849902603784,2.174456703694153,PC do B,100000021093,ANDERSON WILKER DE ABREU ARAUJO,21001,Litoral Ocidental Maranhense,9.99117786566312,0.127656650787834,0.0722610076575761,0.625,0.625,0.25,0.0,0.771470488658165,0.228529511341835,0.012946167349327,0.0318168519602106,0.0,0.0,1.0
MA,07048,ALTO ALEGRE DO PINDARÉ,5,0.5397638064031675,0.1129769950167247,0.4740106793970607,2.109657109987469,PMDB,100000004425,FRANCISCO DANTAS RIBEIRO FILHO,21008,Pindaré,10.3428386566434,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.7249988609959451,0.2750011390040549,0.0072896374033808,0.0388361716835291,0.0,0.0,1.0
MA,07056,ALDEIAS ALTAS,4,0.4604633497911128,0.1308013672616786,0.3575273086676757,2.796989141127419,PP,100000011993,JOSÉ REIS NETO,21016,Coelho Neto,10.0830135386946,0.0,0.0,0.625,0.625,0.25,0.0,0.7714987714987716,0.2285012285012285,0.0092079756300193,0.043962891165882,1.0,1.0,0.0
MA,07064,APICUM-AÇU,2,0.513317191283293,0.0266343825665859,0.5003546951673516,1.9985822250864136,PV,100000007055,CLAUDIO LUIZ LIMA CUNHA,21001,Litoral Ocidental Maranhense,9.60878086514738,0.0,0.0225056798661102,0.7,0.5,0.0,0.0,0.8491313623895154,0.1508686376104846,0.0034099066762383,0.0123833452979181,1.0,0.0,1.0
MA,07072,ALTAMIRA DO MARANHÃO,2,0.646218487394958,0.292436974789916,0.542759692112139,1.8424360071922787,PDT,100000008774,RICARDO ALMEIDA MIRANDA,21008,Pindaré,9.30982365046113,0.0,0.0329504431096784,0.3333333333333333,0.8333333333333334,0.1666666666666666,0.0,0.8225139363423845,0.1774860636576155,0.0054656755574989,0.0229558373414954,1.0,0.0,1.0
MA,07080,AMAPÁ DO MARANHÃO,2,0.5769980506822612,0.1539961013645224,0.511857399617736,1.9536691288370889,PSDB,100000008751,TATIANE MAIA DE OLIVEIRA,21007,Gurupi,8.76248954737158,0.0,0.0,0.625,0.625,0.25,0.0,0.8168649767201241,0.1831350232798758,0.0052776018577158,0.0246991766941101,1.0,1.0,1.0
MA,07099,ALTO PARNAÍBA,3,0.498702488169745,0.0532743092657609,0.4502318166300408,2.221078038164744,PSDB,100000011837,RUBENS SUSSUMU OGASAWARA,21020,Gerais de Balsas,9.27818591887125,0.116531165311653,0.0300096157316773,0.7,0.5,0.2,0.0,0.8028669443763783,0.1971330556236216,0.0056462688844803,0.0454753547993285,0.0,0.0,1.0
MA,07102,ARAGUANÃ,3,0.5486903962390867,0.1548018804566823,0.459506495134907,2.176247801908456,PR,100000003871,VALMIR BELO AMORIM,21008,Pindaré,9.54337814614876,0.0,0.0,0.75,0.25,0.0,0.0,0.7678090575275398,0.2321909424724602,0.0039853339709867,0.0250278973377969,1.0,0.0,1.0
