state,municipality_id_tse,municipality_name,candidate_hhi_party_2020,candidate_hhi_party_2024,coalition_count_2020,coalition_count_2024,effective_party_count_candidates_2020,effective_party_count_candidates_2024,elected_candidates_2020,elected_candidates_2024,elected_female_share_2020,elected_female_share_2024,elected_higher_education_share_2020,elected_higher_education_share_2024,elected_mean_age_2020,elected_mean_age_2024,elected_nonwhite_share_2020,elected_nonwhite_share_2024,female_share_2020,female_share_2024,higher_education_share_2020,higher_education_share_2024,incumbent_candidate_count_2020,incumbent_candidate_count_2024,incumbent_candidate_share_2020,incumbent_candidate_share_2024,incumbent_reelected_count_2020,incumbent_reelected_count_2024,incumbent_reelected_share_2020,incumbent_reelected_share_2024,married_share_2020,married_share_2024,mean_age_2020,mean_age_2024,new_candidate_count_2020,new_candidate_count_2024,new_candidate_share_2020,new_candidate_share_2024,nonwhite_share_2020,nonwhite_share_2024,party_count_2020,party_count_2024,sd_age_2020,sd_age_2024,total_candidates_2020,total_candidates_2024,delta_total_candidates_2024_2020,delta_female_share_2024_2020,delta_candidate_hhi_party_2024_2020,delta_effective_party_count_candidates_2024_2020
AL,27154,BELÉM,0.25,0.5,3.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,40.75564681724846,49.086926762491444,0.0,1.0,0.25,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,47.51540041067762,40.91991786447639,0.0,2.0,0.0,1.0,0.25,0.5,4.0,2.0,5.587030255507063,11.549894747594644,4.0,2.0,-2.0,-0.25,0.25,-2.0
AL,27170,BELO MONTE,0.5,0.5,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,28.673511293634498,32.563997262149215,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,35.81519507186859,28.376454483230667,0.0,1.0,0.0,0.5,0.5,0.5,2.0,2.0,10.099866057358568,5.922079790964133,2.0,2.0,0.0,0.5,0.0,0.0
AL,27197,BOCA DA MATA,0.3333333333333333,0.5,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,36.394250513347025,40.284736481861735,1.0,1.0,0.0,0.5,0.6666666666666666,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.6666666666666666,1.0,43.02715035363906,38.87063655030801,0.0,1.0,0.0,0.5,0.6666666666666666,0.5,3.0,2.0,18.517849096592126,1.9998393017541483,3.0,2.0,-1.0,0.5,0.16666666666666669,-1.0
AL,27219,BRANQUINHA,0.25,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,56.14236824093087,60.03285420944559,1.0,1.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,46.17316906228611,60.03285420944559,0.0,0.0,0.0,0.0,0.5,1.0,4.0,1.0,13.971729858309327,0.0,4.0,1.0,-3.0,0.0,0.75,-3.0
AL,27235,CACIMBINHAS,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,37.29226557152635,45.27857631759069,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.71526351813826,45.27857631759069,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.2302176917916525,0.0,2.0,1.0,-1.0,0.0,0.5,-1.0
AL,27251,CAJUEIRO,0.20000000000000004,0.3333333333333333,3.0,3.0,4.999999999999999,3.0,1.0,1.0,1.0,1.0,1.0,1.0,62.559890485968516,66.45037645448323,0.0,0.0,0.2,0.3333333333333333,0.4,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,55.16878850102669,56.30207620351357,0.0,2.0,0.0,0.6666666666666666,0.4,0.3333333333333333,5.0,3.0,8.833528148876145,11.044363271938103,5.0,3.0,-2.0,0.1333333333333333,0.13333333333333328,-1.9999999999999991
AL,27278,CAMPO ALEGRE,0.3333333333333333,0.5,2.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,43.167693360711844,48.982888432580424,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.58453114305271,41.97262149212868,0.0,2.0,0.0,1.0,0.6666666666666666,0.0,3.0,2.0,2.8715904616597556,9.914014583042604,3.0,2.0,-1.0,0.5,0.16666666666666669,-1.0
AL,27294,CAMPO GRANDE,0.3333333333333333,0.3333333333333333,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.81245722108145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,54.54163814738763,43.85215605749486,0.0,2.0,0.0,0.6666666666666666,1.0,0.6666666666666666,3.0,3.0,6.523104216741806,6.914865348724891,3.0,3.0,0.0,0.0,0.0,0.0
AL,27316,CANAPI,0.3333333333333333,0.3333333333333333,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,27.351129363449694,53.59069130732375,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,32.02829112480037,40.894364590463155,0.0,3.0,0.0,1.0,0.6666666666666666,1.0,3.0,3.0,4.206511797870937,11.684491972819558,3.0,3.0,0.0,0.6666666666666666,0.0,0.0
AL,27332,CAPELA,0.3333333333333333,0.5,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,42.59000684462697,46.10814510609172,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,44.501939310974215,48.61327857631759,0.0,2.0,0.0,1.0,0.6666666666666666,0.0,3.0,2.0,1.9504267866831428,3.5427937291482037,3.0,2.0,-1.0,0.0,0.16666666666666669,-1.0
AL,27359,CARNEIROS,0.5,0.5,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,41.12251882272416,49.776865160848736,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,50.43668720054757,56.70910335386722,0.0,1.0,0.0,0.5,0.0,0.5,2.0,2.0,13.172223242144474,9.80366527016749,2.0,2.0,0.0,0.5,0.0,0.0
AL,27375,CHÃ PRETA,0.3333333333333333,0.5,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,54.83915126625599,58.729637234770706,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.6666666666666666,0.5,49.6828656171572,51.98494182067077,0.0,1.0,0.0,0.5,0.3333333333333333,0.0,3.0,2.0,12.007044113944465,9.538439728695742,3.0,2.0,-1.0,0.5,0.16666666666666669,-1.0
