office_group,election_year,state,municipality_id_tse,municipality_name,total_candidates,elected_candidates,party_count,coalition_count,female_share,nonwhite_share,higher_education_share,married_share,mean_age,sd_age,elected_female_share,elected_nonwhite_share,elected_higher_education_share,elected_mean_age,new_candidate_count,incumbent_candidate_count,incumbent_reelected_count,new_candidate_share,incumbent_candidate_share,incumbent_reelected_share,candidate_hhi_party,effective_party_count_candidates
executive,2020,AL,27979,MAR VERMELHO,2,1,2,1,0.0,0.5,1.0,1.0,37.19917864476386,5.385820849448256,0.0,0.0,1.0,33.39082819986311,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27995,MATA GRANDE,2,1,2,2,0.0,0.5,0.0,1.0,48.355920602327174,17.53198907713997,0.0,1.0,0.0,60.75290896646133,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28010,MATRIZ DE CAMARAGIBE,3,1,3,3,0.0,0.6666666666666666,0.3333333333333333,0.0,37.02213096052932,22.65971685943018,0.0,1.0,0.0,21.56331279945243,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28037,MESSIAS,3,1,3,2,0.0,0.6666666666666666,0.6666666666666666,1.0,44.4581336983801,11.728118200640779,0.0,1.0,1.0,44.02464065708419,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28053,MINADOR DO NEGRÃO,2,1,2,2,0.0,1.0,0.0,1.0,49.138945927446954,1.5874813431155874,0.0,1.0,0.0,50.261464750171115,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28070,MONTEIRÓPOLIS,5,1,5,3,0.0,0.6,0.2,0.2,44.818069815195074,6.7277404655767405,0.0,1.0,0.0,51.937029431895965,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AL,28096,MURICI,2,1,2,2,0.0,0.5,1.0,1.0,46.16563997262149,17.020897522771048,0.0,0.0,1.0,34.130047912388775,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28118,NOVO LINO,2,1,2,2,0.5,1.0,0.5,0.5,36.50924024640657,4.503026346447387,1.0,1.0,1.0,33.32511978097194,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28134,OLHO D'ÁGUA DAS FLORES,3,1,3,3,0.0,0.3333333333333333,0.6666666666666666,1.0,46.74241387177732,9.939009389592858,0.0,0.0,1.0,36.91991786447639,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28150,OLHO D'ÁGUA DO CASADO,2,1,2,2,0.0,0.5,0.0,1.0,68.15468856947297,11.087202014662163,0.0,0.0,0.0,60.31485284052019,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28177,OLHO D'ÁGUA GRANDE,5,1,5,1,0.2,0.4,0.8,0.8,39.95564681724846,8.721213087529833,1.0,0.0,1.0,42.92950034223135,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AL,28193,OLIVENÇA,2,1,2,2,0.0,1.0,0.5,0.5,41.648186173853524,12.045498679103897,0.0,1.0,1.0,33.13073237508556,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28215,OURO BRANCO,4,1,4,3,0.25,0.75,0.75,0.5,46.1978097193703,5.947086004070584,1.0,1.0,1.0,39.419575633128,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,28231,PALESTINA,3,1,3,3,0.3333333333333333,0.0,0.6666666666666666,1.0,48.57129819758156,7.818122802518623,0.0,0.0,0.0,54.392881587953454,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28258,PALMEIRA DOS ÍNDIOS,3,1,3,3,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,57.93657312343144,15.734880408654236,0.0,1.0,1.0,49.06228610540725,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28274,PÃO DE AÇÚCAR,4,1,4,3,0.25,0.25,0.5,0.5,54.44969199178645,9.271763759492417,0.0,0.0,1.0,64.20807665982204,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,28290,PASSO DE CAMARAGIBE,6,1,5,4,0.3333333333333333,0.3333333333333333,0.5,1.0,42.82728724617842,7.506366190446998,0.0,1.0,0.0,44.145106091718,0,0,0,0.0,0.0,0.0,0.22222222222222227,4.499999999999999
executive,2020,AL,28312,PAULO JACINTO,2,1,2,2,0.0,0.5,1.0,1.0,54.53251197809719,4.2203772292585215,0.0,1.0,1.0,51.5482546201232,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28339,PENEDO,5,1,5,5,0.2,0.8,0.8,0.8,51.98576317590691,11.451434178512,0.0,1.0,1.0,65.12251882272416,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AL,28355,PIAÇABUÇU,3,1,3,3,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,49.20739219712525,12.315752135060775,0.0,0.0,1.0,63.04722792607803,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28371,PILAR,3,1,3,3,0.0,0.0,0.6666666666666666,0.6666666666666666,33.129819758156515,6.449591037046283,0.0,0.0,1.0,36.57494866529774,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28398,PINDOBA,2,1,2,2,0.0,0.0,0.5,0.5,46.714579055441476,0.7608294729810081,0.0,0.0,0.0,46.17659137577002,0,0,0,0.0,0.0,0.0,0.5,2.0
