election_year,state,municipality_id_tse,municipality_name,registered_voters,turnout_count,abstentions_count,total_votes,blank_votes,null_votes,turnout_rate,abstention_rate,null_rate,blank_rate,valid_vote_rate,valid_votes
2020,AL,28290,PASSO DE CAMARAGIBE,11576,9631,1945,9631,109,371,0.8319799585348998,0.16802004146510022,0.032049067035245335,0.009416033172080165,0.7905148583275743,9151
2020,AL,28312,PAULO JACINTO,6059,5003,1056,5003,52,217,0.8257138141607526,0.1742861858392474,0.03581449084007262,0.008582274302690212,0.7813170490179898,4734
2020,AL,28339,PENEDO,40746,30544,10202,30544,484,1128,0.7496195945614293,0.25038040543857065,0.02768369901340009,0.011878466597948265,0.710057428950081,28932
2020,AL,28355,PIAÇABUÇU,13174,10813,2361,10813,103,432,0.8207833611659329,0.1792166388340671,0.032791862759981784,0.007818430241384546,0.7801730681645666,10278
2020,AL,28371,PILAR,26133,21014,5119,21014,545,1051,0.8041173994566257,0.19588260054337428,0.04021734971109325,0.02085485784257452,0.7430451919029579,19418
2020,AL,28398,PINDOBA,2581,2244,337,2244,22,77,0.8694304533126695,0.13056954668733048,0.02983339790778768,0.008523827973653622,0.8310732274312282,2145
2020,AL,28410,PIRANHAS,18050,14338,3712,14338,113,636,0.7943490304709141,0.20565096952908588,0.03523545706371191,0.006260387811634349,0.7528531855955679,13589
2020,AL,28436,POÇO DAS TRINCHEIRAS,9979,7993,1986,7993,51,254,0.8009820623308949,0.1990179376691051,0.02545345224972442,0.005110732538330494,0.77041787754284,7688
2020,AL,28452,PORTO CALVO,20337,16330,4007,16330,185,572,0.8029699562373999,0.1970300437626002,0.02812607562570684,0.00909672026355903,0.765747160348134,15573
2020,AL,28479,PORTO DE PEDRAS,6899,5874,1025,5874,163,298,0.8514277431511813,0.14857225684881867,0.04319466589360777,0.023626612552543846,0.7846064647050297,5413
2020,AL,28495,PORTO REAL DO COLÉGIO,15341,12819,2522,12819,213,463,0.8356039371618539,0.16439606283814615,0.03018056189296656,0.013884362166742716,0.7915390131021446,12143
2020,AL,28517,QUEBRANGULO,9762,7467,2295,7467,328,737,0.7649047326367547,0.23509526736324524,0.07549682442122516,0.03359967219832002,0.6558082360172096,6402
2020,AL,28533,RIO LARGO,57632,46916,10716,46916,1391,2468,0.8140616324264298,0.18593836757357024,0.042823431426985005,0.024135896724042198,0.7471023042754026,43057
2020,AL,28550,ROTEIRO,5465,4459,1006,4459,30,108,0.8159194876486734,0.18408051235132664,0.019762122598353155,0.0054894784995425435,0.7906678865507777,4321
2020,AL,28576,SANTA LUZIA DO NORTE,5860,4965,895,4965,110,251,0.8472696245733788,0.15273037542662116,0.042832764505119456,0.01877133105802048,0.7856655290102389,4604
2020,AL,28592,SANTANA DO IPANEMA,30701,24098,6603,24098,341,974,0.7849255724569232,0.21507442754307676,0.031725350965766584,0.011107130060910068,0.7420930914302466,22783
2020,AL,28614,SANTANA DO MUNDAÚ,8614,6960,1654,6960,67,323,0.8079869979103784,0.19201300208962155,0.037497097747852336,0.007778035755746459,0.7627118644067796,6570
2020,AL,28630,SÃO BRÁS,6355,5628,727,5628,47,144,0.8856018882769473,0.11439811172305271,0.022659323367427223,0.007395751376868607,0.8555468135326515,5437
2020,AL,28657,SÃO JOSÉ DA LAJE,16815,13066,3749,13066,241,693,0.7770443056794528,0.22295569432054713,0.04121320249776985,0.014332441272673208,0.7214986619090098,12132
2020,AL,28673,SÃO JOSÉ DA TAPERA,20765,15861,4904,15861,406,1114,0.763833373464965,0.23616662653503492,0.05364796532627017,0.01955213098964604,0.6906332771490489,14341
2020,AL,28690,SÃO LUÍS DO QUITUNDE,22885,18117,4768,18117,273,667,0.7916539217828272,0.20834607821717283,0.02914572864321608,0.011929211273760105,0.750578981865851,17177
2020,AL,28711,SÃO MIGUEL DOS CAMPOS,40030,32065,7965,32065,504,1076,0.8010242318261304,0.1989757681738696,0.026879840119910067,0.012590557082188359,0.7615538346240319,30485
2020,AL,28738,SÃO MIGUEL DOS MILAGRES,7170,6275,895,6275,55,256,0.8751743375174338,0.12482566248256625,0.03570432357043236,0.007670850767085077,0.8317991631799163,5964
