municipality_id_tse,state,municipality_name,n_polls_2020,polled_2020,n_firms_2020,total_sample_2020,mean_sample_2020,total_cost_2020,mean_cost_2020,n_own_polls_2020,n_polls_last30_2020,last_poll_days_before_election_2020,n_polls_2024,polled_2024,n_firms_2024,total_sample_2024,mean_sample_2024,total_cost_2024,mean_cost_2024,n_own_polls_2024,n_polls_last30_2024,last_poll_days_before_election_2024,delta_n_polls_2024_2020,delta_polled_2024_2020,delta_n_firms_2024_2020,delta_total_sample_2024_2020,delta_mean_sample_2024_2020,delta_total_cost_2024_2020,delta_mean_cost_2024_2020,delta_n_own_polls_2024_2020,delta_n_polls_last30_2024_2020,delta_last_poll_days_before_election_2024_2020,polled_both,polled_either
00671,RO,CAMPO NOVO DE RONDÔNIA,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,1.0,1.0,250.0,250.0,3000.0,3000.0,0.0,1.0,8.0,1.0,1.0,1.0,250.0,,,,0.0,1.0,,0,1
00680,RO,CUJUBIM,6.0,1.0,4.0,2260.0,376.6666666666667,16700.0,2783.3333333333335,6.0,4.0,95.0,4.0,1.0,2.0,1127.0,281.75,13500.0,3375.0,0.0,3.0,77.0,-2.0,0.0,-2.0,-1133.0,-94.91666666666669,-3200.0,591.6666666666665,-6.0,-1.0,-18.0,1,1
00698,RO,VALE DO ANARI,1.0,1.0,1.0,211.0,211.0,5000.0,5000.0,1.0,0.0,248.0,1.0,1.0,1.0,215.0,215.0,3000.0,3000.0,1.0,0.0,48.0,0.0,0.0,0.0,4.0,4.0,-2000.0,-2000.0,0.0,0.0,-200.0,1,1
00736,RO,ALTO ALEGRE DOS PARECIS,1.0,1.0,1.0,219.0,219.0,3700.0,3700.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1.0,-1.0,-1.0,-219.0,,,,-1.0,-1.0,,0,1
00744,RO,NOVA UNIÃO,3.0,1.0,2.0,745.0,248.33333333333334,8000.0,2666.6666666666665,3.0,2.0,165.0,2.0,1.0,2.0,675.0,337.5,7500.0,3750.0,1.0,2.0,12.0,-1.0,0.0,0.0,-70.0,89.16666666666666,-500.0,1083.3333333333335,-2.0,0.0,-153.0,1,1
00752,RO,TEIXEIRÓPOLIS,1.0,1.0,1.0,230.0,230.0,3500.0,3500.0,1.0,0.0,145.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1.0,-1.0,-1.0,-230.0,,,,-1.0,0.0,,0,1
00779,RO,BURITIS,3.0,1.0,3.0,989.0,329.6666666666667,8000.0,2666.6666666666665,3.0,2.0,95.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-3.0,-1.0,-3.0,-989.0,,,,-3.0,-2.0,,0,1
00787,RO,PIMENTEIRAS DO OESTE,4.0,1.0,2.0,1253.0,313.25,9100.0,2275.0,4.0,4.0,29.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-4.0,-1.0,-2.0,-1253.0,,,,-4.0,-4.0,,0,1
00795,RO,SÃO FRANCISCO DO GUAPORÉ,3.0,1.0,3.0,906.0,302.0,8800.0,2933.3333333333335,3.0,2.0,95.0,2.0,1.0,2.0,790.0,395.0,8000.0,4000.0,1.0,2.0,6.0,-1.0,0.0,-1.0,-116.0,93.0,-800.0,1066.6666666666665,-2.0,0.0,-89.0,1,1
00809,RO,CHUPINGUAIA,8.0,1.0,3.0,2333.0,291.625,2021300.0,252662.5,8.0,6.0,253.0,3.0,1.0,2.0,752.0,250.66666666666666,10000.0,3333.3333333333335,0.0,3.0,15.0,-5.0,0.0,-1.0,-1581.0,-40.95833333333334,-2011300.0,-249329.16666666666,-8.0,-3.0,-238.0,1,1
01007,AC,BUJARI,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3.0,1.0,1.0,600.0,200.0,18000.0,6000.0,0.0,3.0,23.0,3.0,1.0,1.0,600.0,,,,0.0,3.0,,0,1
01015,AC,CAPIXABA,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,1.0,1.0,368.0,368.0,5520.0,5520.0,1.0,1.0,17.0,1.0,1.0,1.0,368.0,,,,1.0,1.0,,0,1
01023,AC,PORTO ACRE,1.0,1.0,1.0,300.0,300.0,3000.0,3000.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1.0,-1.0,-1.0,-300.0,,,,-1.0,-1.0,,0,1
01058,AC,BRASILÉIA,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3.0,1.0,2.0,1004.0,334.6666666666667,22000.0,7333.333333333333,1.0,2.0,41.0,3.0,1.0,2.0,1004.0,,,,1.0,2.0,,0,1
01066,AC,PORTO WALTER,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,1.0,1.0,140.0,140.0,4000.0,4000.0,1.0,0.0,56.0,1.0,1.0,1.0,140.0,,,,1.0,0.0,,0,1
01074,AC,CRUZEIRO DO SUL,7.0,1.0,4.0,4252.0,607.4285714285714,40000.0,5714.285714285715,7.0,4.0,276.0,10.0,1.0,2.0,5600.0,560.0,115800.0,11580.0,2.0,5.0,174.0,3.0,0.0,-2.0,1348.0,-47.428571428571445,75800.0,5865.714285714285,-5.0,1.0,-102.0,1,1
