election_year,state,municipality_id_tse,municipality_name,n_polls,n_firms,total_sample,mean_sample,total_cost,mean_cost,n_own_polls,n_polls_last30,last_poll_days_before_election,polled
2020,AL,27456,CORURIPE,1,1,600.0,600.0,10000.0,10000.0,1,1,4,1
2020,AL,27472,DELMIRO GOUVEIA,5,2,3200.0,640.0,24000.0,4800.0,2,4,77,1
2020,AL,27499,DOIS RIACHOS,3,2,1900.0,633.3333333333334,12000.0,4000.0,2,1,107,1
2020,AL,27510,FEIRA GRANDE,2,2,1000.0,500.0,12500.0,6250.0,2,1,104,1
2020,AL,27553,FLEXEIRAS,2,1,1600.0,800.0,8000.0,4000.0,0,2,20,1
2020,AL,27634,IGREJA NOVA,1,1,800.0,800.0,7000.0,7000.0,0,1,12,1
2020,AL,27650,INHAPI,3,3,1774.0,591.3333333333334,14500.0,4833.333333333333,2,1,121,1
2020,AL,27693,JACUÍPE,2,1,1200.0,600.0,7000.0,3500.0,1,1,98,1
2020,AL,27715,JAPARATINGA,3,1,2100.0,700.0,12000.0,4000.0,3,1,75,1
2020,AL,27758,JOAQUIM GOMES,1,1,600.0,600.0,4000.0,4000.0,0,1,17,1
2020,AL,27774,JUNDIÁ,5,2,2900.0,580.0,27300.0,5460.0,2,2,138,1
2020,AL,27790,JUNQUEIRO,1,1,300.0,300.0,15000.0,15000.0,0,1,4,1
2020,AL,27812,LAGOA DA CANOA,1,1,600.0,600.0,5000.0,5000.0,1,1,9,1
2020,AL,27839,LIMOEIRO DE ANADIA,2,1,1500.0,750.0,11000.0,5500.0,1,1,57,1
2020,AL,27855,MACEIÓ,20,9,20558.0,1027.9,344060.0,17203.0,11,7,113,1
2020,AL,27871,MAJOR ISIDORO,11,2,8791.0,799.1818181818181,48000.0,4363.636363636364,8,1,205,1
2020,AL,27898,MARAGOGI,2,1,1460.0,730.0,8000.0,4000.0,2,0,114,1
2020,AL,27936,MARECHAL DEODORO,6,4,4463.0,743.8333333333334,41500.0,6916.666666666667,5,5,32,1
2020,AL,27995,MATA GRANDE,5,1,3500.0,700.0,21000.0,4200.0,4,1,162,1
2020,AL,28010,MATRIZ DE CAMARAGIBE,8,4,5754.0,719.25,39500.0,4937.5,8,1,197,1
2020,AL,28118,NOVO LINO,5,3,3600.0,720.0,25000.0,5000.0,4,3,111,1
2020,AL,28134,OLHO D'ÁGUA DAS FLORES,2,2,1555.0,777.5,12500.0,6250.0,2,2,8,1
2020,AL,28150,OLHO D'ÁGUA DO CASADO,2,2,920.0,460.0,10340.0,5170.0,0,2,10,1
2020,AL,28193,OLIVENÇA,1,1,600.0,600.0,4000.0,4000.0,1,1,24,1
2020,AL,28215,OURO BRANCO,3,1,1800.0,600.0,12000.0,4000.0,0,1,74,1
2020,AL,28231,PALESTINA,2,1,1220.0,610.0,11300.0,5650.0,2,1,45,1
2020,AL,28258,PALMEIRA DOS ÍNDIOS,2,2,1500.0,750.0,15000.0,7500.0,2,2,9,1
2020,AL,28274,PÃO DE AÇÚCAR,4,3,3051.0,762.75,26000.0,6500.0,3,3,74,1
2020,AL,28355,PIAÇABUÇU,5,4,3114.0,622.8,19000.0,3800.0,4,0,134,1
2020,AL,28371,PILAR,1,1,2000.0,2000.0,10000.0,10000.0,0,1,23,1
2020,AL,28410,PIRANHAS,1,1,800.0,800.0,8500.0,8500.0,1,1,10,1
2020,AL,28452,PORTO CALVO,9,4,6448.0,716.4444444444445,46000.0,5111.111111111111,7,4,120,1
2020,AL,28479,PORTO DE PEDRAS,3,2,1985.0,661.6666666666666,17000.0,5666.666666666667,2,1,185,1
2020,AL,28495,PORTO REAL DO COLÉGIO,1,1,750.0,750.0,4000.0,4000.0,1,0,33,1
2020,AL,28533,RIO LARGO,3,2,2423.0,807.6666666666666,22000.0,7333.333333333333,3,1,146,1
2020,AL,28550,ROTEIRO,5,2,3380.0,676.0,25000.0,5000.0,4,1,141,1
2020,AL,28576,SANTA LUZIA DO NORTE,1,1,550.0,550.0,4000.0,4000.0,1,0,47,1
2020,AL,28592,SANTANA DO IPANEMA,1,1,800.0,800.0,4000.0,4000.0,1,0,71,1
2020,AL,28630,SÃO BRÁS,1,1,600.0,600.0,3000.0,3000.0,1,1,12,1
2020,AL,28657,SÃO JOSÉ DA LAJE,1,1,800.0,800.0,7500.0,7500.0,0,1,18,1
2020,AL,28690,SÃO LUÍS DO QUITUNDE,5,2,3554.0,710.8,24000.0,4800.0,5,0,201,1
2020,AL,28711,SÃO MIGUEL DOS CAMPOS,2,2,1100.0,550.0,26500.0,13250.0,1,2,3,1
2020,AL,28754,SÃO SEBASTIÃO,1,1,800.0,800.0,8500.0,8500.0,1,1,5,1
2020,AL,28797,TANQUE D'ARCA,1,1,500.0,500.0,5000.0,5000.0,1,1,8,1
2020,AL,28819,TAQUARANA,5,3,3229.0,645.8,29500.0,5900.0,3,4,114,1
2020,AL,28835,TRAIPU,1,1,700.0,700.0,6500.0,6500.0,1,1,6,1
2020,AL,28851,UNIÃO DOS PALMARES,4,3,2991.0,747.75,19500.0,4875.0,3,1,281,1
2020,AL,28878,VIÇOSA,2,2,2800.0,1400.0,15500.0,7750.0,2,2,10,1
2020,AL,28894,CRAÍBAS,1,1,300.0,300.0,15000.0,15000.0,0,1,2,1
2020,AL,28916,SENADOR RUI PALMEIRA,3,1,2400.0,800.0,12000.0,4000.0,3,0,191,1
2020,AL,28932,TEOTÔNIO VILELA,1,1,750.0,750.0,4000.0,4000.0,1,0,53,1
2020,AM,02046,CAREIRO DA VÁRZEA,1,1,375.0,375.0,3000.0,3000.0,1,0,245,1
2020,AM,02070,AUTAZES,7,4,3713.0,530.4285714285714,33500.0,4785.714285714285,7,6,142,1
2020,AM,02097,BARCELOS,3,2,1492.0,497.3333333333333,24500.0,8166.666666666667,3,2,35,1
2020,AM,02119,BARREIRINHA,1,1,255.0,255.0,4000.0,4000.0,1,1,12,1
2020,AM,02135,BENJAMIN CONSTANT,1,1,350.0,350.0,17000.0,17000.0,1,0,66,1
2020,AM,02151,BOCA DO ACRE,1,1,300.0,300.0,4000.0,4000.0,1,1,9,1
2020,AM,02178,BORBA,1,1,521.0,521.0,7000.0,7000.0,1,1,4,1
2020,AM,02194,CANUTAMA,2,1,627.0,313.5,8100.0,4050.0,2,1,91,1
2020,AM,02232,CAREIRO,4,2,1532.0,383.0,15000.0,3750.0,4,2,245,1
2020,AM,02259,COARI,18,4,11093.0,616.2777777777778,161000.0,8944.444444444445,18,3,128,1
2020,AM,02275,CODAJÁS,1,1,418.0,418.0,5000.0,5000.0,1,0,49,1
2020,AM,02356,HUMAITÁ,1,1,391.0,391.0,4000.0,4000.0,1,1,4,1
2020,AM,02410,ITACOATIARA,5,2,2327.0,465.4,27000.0,5400.0,5,1,245,1
2020,AM,02470,JURUÁ,1,1,256.0,256.0,6000.0,6000.0,1,1,26,1
2020,AM,02496,JUTAÍ,1,1,350.0,350.0,10000.0,10000.0,1,0,73,1
2020,AM,02518,LÁBREA,1,1,240.0,240.0,10000.0,10000.0,1,0,37,1
2020,AM,02534,MANACAPURU,2,2,950.0,475.0,25000.0,12500.0,1,2,22,1
2020,AM,02550,MANAUS,87,13,99030.0,1138.2758620689656,1276246.36,14669.4983908046,75,33,256,1
2020,AM,02615,MAUÉS,5,3,1798.0,359.6,41000.0,8200.0,4,1,136,1
2020,AM,02658,NOVA OLINDA DO NORTE,1,1,386.0,386.0,3000.0,3000.0,1,1,18,1
2020,AM,02690,PARINTINS,4,4,1653.0,413.25,40800.0,10200.0,2,3,69,1
2020,AM,02810,TEFÉ,3,1,1408.0,469.3333333333333,23000.0,7666.666666666667,0,2,86,1
2020,AM,02950,BERURI,1,1,600.0,600.0,7200.0,7200.0,1,1,15,1
2020,AM,02976,BOA VISTA DO RAMOS,1,1,521.0,521.0,8000.0,8000.0,1,0,64,1
2020,AM,98353,IRANDUBA,1,1,380.0,380.0,4000.0,4000.0,1,1,6,1
2020,AM,98370,ITAMARATI,1,1,350.0,350.0,13000.0,13000.0,1,0,77,1
2020,AM,98418,PRESIDENTE FIGUEIREDO,4,2,1941.0,485.25,21500.0,5375.0,4,2,242,1
2020,AM,98434,RIO PRETO DA EVA,1,1,300.0,300.0,7000.0,7000.0,1,1,17,1
2020,AM,98450,SÃO SEBASTIÃO DO UATUMÃ,1,1,521.0,521.0,6000.0,6000.0,1,1,5,1
2020,AP,06050,MACAPÁ,31,8,22157.0,714.741935483871,570936.0,18417.290322580644,17,10,86,1
2020,AP,06076,MAZAGÃO,3,2,1150.0,383.3333333333333,16500.0,5500.0,3,2,31,1
2020,AP,06130,LARANJAL DO JARI,4,2,2000.0,500.0,31500.0,7875.0,4,2,31,1
2020,AP,06157,SANTANA,5,4,2301.0,460.2,56200.0,11240.0,4,3,43,1
2020,AP,06173,TARTARUGALZINHO,2,1,700.0,350.0,13000.0,6500.0,2,2,7,1
2020,BA,30007,LUÍS EDUARDO MAGALHÃES,3,3,1738.0,579.3333333333334,12894.5,4298.166666666667,1,2,40,1
2020,BA,30058,EUNÁPOLIS,4,3,11807.0,2951.75,14109.0,3527.25,2,1,112,1
2020,BA,30660,IUIU,1,1,319.0,319.0,3500.0,3500.0,1,1,16,1
2020,BA,30678,JABORANDI,1,1,561.0,561.0,5000.0,5000.0,0,0,75,1
2020,BA,30694,JUSSARI,1,1,544.0,544.0,5000.0,5000.0,1,0,46,1
2020,BA,30716,AMÉRICA DOURADA,1,1,748.0,748.0,5000.0,5000.0,1,0,77,1
2020,BA,30759,BARRO ALTO,1,1,385.0,385.0,15000.0,15000.0,1,0,56,1
2020,BA,30830,CAPIM GROSSO,4,4,2000.0,500.0,19800.0,4950.0,3,4,8,1
2020,BA,30872,DIAS D'ÁVILA,5,5,2700.0,540.0,28000.0,5600.0,1,2,150,1
2020,BA,30899,FÁTIMA,1,1,400.0,400.0,2000.0,2000.0,1,0,111,1
2020,BA,30910,FILADÉLFIA,2,2,1409.0,704.5,10000.0,5000.0,2,1,81,1
2020,BA,30996,JOÃO DOURADO,8,5,4056.0,507.0,77000.0,9625.0,1,6,30,1
2020,BA,33014,ABAÍRA,1,1,364.0,364.0,4000.0,4000.0,1,0,260,1
2020,BA,33065,ADUSTINA,2,2,990.0,495.0,11000.0,5500.0,0,0,76,1
2020,BA,33073,ÁGUA FRIA,2,1,800.0,400.0,12100.0,6050.0,0,1,95,1
2020,BA,33090,ÉRICO CARDOSO,3,1,933.0,311.0,10500.0,3500.0,3,1,124,1
