office_group,election_year,state,municipality_id_tse,municipality_name,total_valid_votes,n_candidates_with_votes,vote_hhi_candidate,female_vote_share,nonwhite_vote_share,higher_education_vote_share,new_candidate_vote_share,incumbent_candidate_vote_share,effective_n_candidates_vote,winner_vote_share,runnerup_vote_share,margin_top1_top2,top2_vote_share,others_vote_share,winner_majority,winner_is_female,winner_is_new_vs_2020,vote_hhi_party,effective_n_parties_vote
legislative,2020,SP,61930,BALBINOS,1093,22,0.06073499412798237,0.242451967063129,0.21134492223238793,0.3074107959743824,0.0,0.0,16.46497236655319,0.10338517840805124,0.0768526989935956,0.026532479414455634,0.18023787740164685,0.8197621225983531,0,0,0,0.32078794691997403,3.1173241064741966
legislative,2020,SP,61948,ITAPIRAPUÃ PAULISTA,2451,40,0.05037136691890552,0.10567115463076296,0.0028559771521827824,0.10771113831089352,0.0,0.0,19.852548405325827,0.09506323949408405,0.09465524275805794,0.00040799673602610886,0.189718482252142,0.810281517747858,0,0,0,0.1782789262777697,5.609187921863168
legislative,2020,SP,61956,BÁLSAMO,5629,69,0.03426406933033169,0.18529046011724995,0.10179427962337893,0.3998934091312844,0.0,0.0,29.185091541790893,0.07798898561023272,0.06555338426008173,0.012435601350150996,0.14354236987031443,0.8564576301296856,0,0,0,0.19051850647427332,5.248833924357029
legislative,2020,SP,61964,MESÓPOLIS,1480,31,0.04445215485756026,0.32972972972972975,0.3168918918918919,0.23310810810810811,0.0,0.0,22.496097280420674,0.07635135135135135,0.06756756756756757,0.008783783783783777,0.14391891891891892,0.856081081081081,0,0,0,0.4531921110299489,2.20656974307727
legislative,2020,SP,61972,BANANAL,5637,71,0.026020865144129168,0.38442433918751107,0.22742593578144404,0.2785169416356218,0.0,0.0,38.43069761366563,0.051978002483590566,0.051800603157708,0.00017739932588256568,0.10377860564129857,0.8962213943587014,0,0,0,0.20229052521120727,4.943385257198384
legislative,2020,SP,61980,NOVA CAMPINA,5368,79,0.025440403028600234,0.2906110283159464,0.15089418777943367,0.15704172876304023,0.0,0.0,39.30755337782168,0.05104321907600596,0.05067064083457526,0.00037257824143070023,0.10171385991058121,0.8982861400894188,0,1,0,0.1897790572160243,5.269285318778385
legislative,2020,SP,61999,BARBOSA,3819,48,0.04186513580853331,0.16784498559832417,0.21209740769835037,0.140089028541503,0.0,0.0,23.886223720219522,0.10159727677402461,0.06755695208169678,0.03404032469232783,0.1691542288557214,0.8308457711442786,0,0,0,0.3264006177406678,3.0637196918374743
legislative,2020,SP,62006,ILHA COMPRIDA,8001,115,0.021817685862633,0.1994750656167979,0.30621172353455817,0.4478190226221722,0.0,0.0,45.83437520808259,0.045869266341707286,0.04111986001749781,0.004749406324209476,0.0869891263592051,0.9130108736407949,0,0,0,0.1457285187183123,6.86207482787197
legislative,2020,SP,62014,BARÃO DE ANTONINA,1970,42,0.05538354505398232,0.19543147208121828,0.014720812182741117,0.11776649746192894,0.0,0.0,18.055904493388795,0.10761421319796954,0.10609137055837563,0.001522842639593916,0.21370558375634519,0.7862944162436548,0,0,0,0.2474678553943673,4.04092886490809
legislative,2020,SP,62022,LOURDES,1534,33,0.04175328792481246,0.29465449804432853,0.19165580182529335,0.24967405475880053,0.0,0.0,23.95020966494321,0.06649282920469361,0.0560625814863103,0.010430247718383315,0.12255541069100391,0.877444589308996,0,1,0,0.22306553411673513,4.482987494951496
